"displayname","ou","dn","objectguid","syncattrs_hash","dn_hash","whencreated","whenchanged","placeholder"
BELN610國有財產署總署,BELN610,"OU=BELN610,OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","0b14319a4abe4a03953c0b14319a4abe",f3c2c19887d5ea2311ce9ea4b62430ab86a5c80ecf36ad128f26cfe06370fcc1,e8b21fc1b2f6b1373dbe9bc3570191c7612083281926a6b41e9492083bf99ded,2013-10-29 14:45:38,2019-11-14 16:40:15,inner
B011T08法務組行政救濟二股,B011T08,"OU=B011T08,OU=B011T00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",ce8f3eaf94cb48d8aa45ce8f3eaf94cb,af65327bff1d71dc9c3891dd59ff8a90e2da71be92af27ea07069dadde8c145c,"3488cf66e17400cb078557b8ca7475cf360bcc6194d09e35801c884456276727",2023-01-01 13:27:53,2023-01-13 18:47:10,inner
B492C00臺中分局審查課(停用),B492C00,"OU=B492C00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",d20c6720d80a4247bbc9d20c6720d80a,faa4db68c0b9e5d2e6bc318b52746f9f46c587ec0dfde0baa5615dcd2eead081,"8a9a1b9a5b91ec6d2dfd501acefcee0310627c341e202546c4671be885812547",2013-03-08 10:13:11,2023-01-13 18:47:17,inner
M592B06南投縣分局服務課(停用),M592B06,"OU=M592B06,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","818054ea62ad4047899e818054ea62ad",d673ac9a87ce9541e999a4ab1606afd3bc973d52cdc77fa23ceccc0f4e02dfc8,"24544316575258d4ef547e4de2ce5b8ceae39f8bd4ce904c073854149bcb6f25",2013-03-08 10:19:31,2023-01-13 18:48:11,inner
B484803民權稽徵所服務股(停用),B484803,"OU=B484803,OU=B484800,OU=B48,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",d1734735b71f475e8ad3d1734735b71f,"8b9689f7f0d00b0a1afa4c8f09407049124e0e70d16c27fc18b07adc64afaf5c","8fa4acf3cf34c32f3b8c3f75bfc10cfc7e909e6e9491ba97f403265fd7e4f837",2013-03-08 10:12:28,2023-01-13 18:49:07,inner
B535301東勢稽徵所主任室,B535301,"OU=B535301,OU=B535300,OU=B53,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","34731e9ca10347c29fdc34731e9ca103","227f8c996c993c2a75f5bb8d05f0ba5bc83887e2a563762ffbd64696ce131bde",adf599887457bd978b5828afb9548cd2e78690c8c54547fd8cd960445234092b,2013-03-08 10:18:46,2023-01-13 18:49:26,inner
P646402北港稽徵所審核員,P646402,"OU=P646402,OU=P646400,OU=P64,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","278b3ff07f2f45a78d6f278b3ff07f2f",de0fd3c3807bdf0ffc1b9c817b36a88c461a9ca9d70659227f01dcfaaf8ee0de,"143832569f581df2ea476e1a5954d30b1c902af83b6b12887daef00fea4263ae",2013-03-08 10:17:03,2023-01-13 18:50:21,inner
BELN6國有財產署,BELN6,"OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","11f81afa5b6d4d83b9ed11f81afa5b6d","5dd1b001d6834389d43d557d7d648c418397bcc1e8241bd3b1cf50d7fbf137d0","64240821a76e45ec040a30cd930973e2c8c76d29a13282a95c1afda4f3c784a5",2013-10-29 14:27:31,2019-11-14 16:40:15,inner
BELN622國有財產署基隆辦事處,BELN622,"OU=BELN622,OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","416c3115f607415c8a6f416c3115f607","8a058a708c828dc5cb99828efa7ba1a17e080a8f33f397abec7247e92f618028",c22c8034613c89f3e0db79cfe0025ae416e30fd0dac6da3fc161b50fd16fd531,2013-11-20 16:54:11,2019-11-14 16:40:41,inner
BELN623國有財產署宜蘭辦事處,BELN623,"OU=BELN623,OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",cff83620ff9c4b16b699cff83620ff9c,"6f95d95e1d7a20aaea7d82780e8f97ad606d37677867b6b333f034bfafaea3a5","476bd3579f00a7e13eec00eeb4bdef204db2a56b6435840b35ea5fe81aace847",2013-11-20 16:54:38,2019-11-14 16:40:45,inner
BELN624國有財產署花蓮辦事處,BELN624,"OU=BELN624,OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","872c51c33fcd457f88a2872c51c33fcd","97d7e7cc5461ac73bcf4d6c5188c7aed2fee60be62231a1e3e1c7eba5b5b027b",cce9389d8ab1741548041efe8231aed543e411db6e3c629d4aeba1f5dda6c620,2013-11-20 16:55:25,2019-11-14 16:40:49,inner
BELN626國有財產署金馬辦事處,BELN626,"OU=BELN626,OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","99523f53c8064341a01299523f53c806","4797f9646d49c8bbbbf8bc7344c3876a9e01edf1bd6e07768d590ffff08204dd",c14fc7ad8ae08a9c75fefe9c5e34cc8a06596149540ab71f493b3c5180437215,2013-11-20 16:56:00,2019-11-14 16:40:52,inner
BELN625國有財產署臺東辦事處,BELN625,"OU=BELN625,OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","1981448693e043639d601981448693e0",f9eecab57e080297b030923a83a5e7c49ce6690b929594329c2b6431d60007b5,"83f1cef51f0771891b3e35d89212e49e1f5778944c1c13ac5e6e7abcfc0f672b",2013-11-20 16:55:44,2019-11-14 16:40:52,inner
BELN632國有財產署南投辦事處,BELN632,"OU=BELN632,OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","24ef9bb303c34946845924ef9bb303c3","883815951c65bb4d2924ff942d4be6bed69e2119245d6770cb17306b1389e2f9","7f430b0a9ad7985dd288eaa86464bb6ab87521463b8d2cbac9a5cead477c03ee",2013-11-20 16:57:24,2019-11-14 16:41:04,inner
M592K00南投縣分局秘書室(停用),M592K00,"OU=M592K00,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","0d2d373272444fe59f490d2d37327244",df9c8c0dc5bd1cdc8e13e78070dea20e38d089689244d0a14fc660697488d25c,"39641795c417306b2b154893d4dae59ded6825bf2de9a51774a996e91472a41b",2013-03-08 10:16:53,2023-01-13 18:48:20,inner
P632A01雲林分局分局長室,P632A01,"OU=P632A01,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","7c273f5d805446b187317c273f5d8054",e072d8fa897369f13cbd86559a8b7453156ec39c74220639dd9792eb80c34d66,c36f7038781ba098d7aa95bc23c6966d66d9bc2aaaf3f4eecdaaf8c47c288ed7,2013-03-08 10:15:54,2023-01-13 18:48:43,inner
M616109竹山稽徵所銷售稅股,M616109,"OU=M616109,OU=M616100,OU=M61,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","9d8b8643864a4a7c83b19d8b8643864a",eb5f3114b267e59c2a4b84b28695691a29ba87a20ef671b2cfd18e4825229a53,c59eac0bb8f1f52c63f638f6db66880763113a5f95b6908ebe01e0828e3c68c4,2013-03-08 10:23:39,2023-01-13 18:50:04,inner
M616110竹山稽徵所第四股(停用),M616110,"OU=M616110,OU=M616100,OU=M61,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",b840b14e1e8247f2a1f7b840b14e1e82,a9fb9650f96294f4f317797f93aa019249fd9890f96bdc8b814f9efdc4194fd9,ca8be72b32519332491c9b2d73ba9a7774f235175aa76db781b10f95dcc247b0,2013-03-08 10:24:30,2023-01-13 18:50:05,inner
P632D00雲林縣分局徵收課(停用),P632D00,"OU=P632D00,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","37efa4876fed4c84a2d037efa4876fed","55f58bb17929fe06ea52d2a2a921c6eb89a9ad25832015c7d6f0357c2e8670b8","231e602c0f2b083e38534d2b736aeb197ac19d1d2f80c71a7dc9d468ec046608",2013-03-08 10:07:43,2023-01-13 18:48:46,inner
B484804民權稽徵所審查股(停用),B484804,"OU=B484804,OU=B484800,OU=B48,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","661b5e99faaf4a999f93661b5e99faaf","320219ac31a461e7e7b595dd896cd3dd14cbf9f1622f6dec42e05b3957795183",a12779368362030c8349879e8f0fc248bc6cfba0b4a6528380b49dd5fb667219,2013-03-08 10:12:35,2023-01-13 18:49:07,inner
BELN621國有財產署桃園辦事處,BELN621,"OU=BELN621,OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","88b3a199f3a34f3c93f888b3a199f3a3","712b12478fd035bc1f6c1a4a59a83cd5de969f92eb95c7b756f91eb9aaa2d09c","86bab3f8c954ce491ae9be3821551d4e123b4b04450a1ebc6a2e31fa394673fc",2013-11-20 16:53:10,2019-11-14 16:40:37,inner
BELN633國有財產署彰化辦事處,BELN633,"OU=BELN633,OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","8043d7b7e13e410a999d8043d7b7e13e",bb7dc9020b4124086245e973d91239df560f0c10dc80d063daadef1d4689e8a1,"1988d1139e7dfe5b265e7dc6dda7c0d75b1b1d0a6b27aad259b3123d68ce99e2",2013-11-20 16:57:39,2019-11-14 16:41:10,inner
BELN634國有財產署雲林辦事處,BELN634,"OU=BELN634,OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","5bd5082c9f1449dda7b85bd5082c9f14","745537d56c66303248eba4ffd156fef39310d36623158906c4708719605a9109",f58103ff6c94a3945cc6c06a6f5a4f08b179bf67360c8ab2cc9538f2e31eca2f,2013-11-20 16:57:55,2019-11-14 16:41:15,inner
N552K02彰化分局秘書室,N552K02,"OU=N552K02,OU=N555500,OU=N55,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","1f2a3090485b432dbc3e1f2a3090485b","6f71556473b89c3f153c3044b1b7499cd9227caac17c6670f5fa92a1f066ee1f","6014ba6463d72d712aee7fec7aaf47fcbf2da86f225382f6c6ae1b9660ba488b",2013-03-08 10:09:27,2023-01-13 18:48:31,inner
N552K00彰化縣分局秘書室(停用),N552K00,"OU=N552K00,OU=N555500,OU=N55,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",c2aba70e0cc24f4ab752c2aba70e0cc2,d666378ccdd32310e9f939c2efb49b0d0ea64289d1cb538b627281c7b44bf979,"840e7d9e8c461132128ce72c7e741df1196d2e0d0e9c8336dca3955fca2eaf71",2013-03-08 10:09:17,2023-01-13 18:48:31,inner
N552L00彰化縣分局會計室(停用),N552L00,"OU=N552L00,OU=N555500,OU=N55,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",f5eb65b3a4e34851b027f5eb65b3a4e3,"5d02c90a580f0ef09a731ef9cd0520208b649451c266a64e5230f87f3226e8bf","547620f77c43ee970940e18cc94c59f0e51e69dd82d718a497545d3058f634e3",2013-03-08 10:06:31,2023-01-13 18:48:32,inner
P632B06雲林縣分局服務課(停用),P632B06,"OU=P632B06,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","869fcf30b4a0496bbb91869fcf30b4a0",b6197dfe180a4dd2243543b19a8b81e2716ad6ac5775175ae161c8ccd08d3e34,"1c420dd8de9914f19fc308632b59688b1f9c767cc9af88a99c2842fa4dd8adf7",2013-03-08 10:13:48,2023-01-13 18:48:44,inner
P632B00雲林縣分局服務課(停用),P632B00,"OU=P632B00,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","751dd0d2c3f24e40ab61751dd0d2c3f2","22122a0057db70dcc92e61956eaa0e06ea6bf2f4ab77212a823a38ad459db69f",eb0e9366c665f97ce36e960d18238a47ee54de7768fd743a61ec70d5f5fa1854,2013-03-08 10:13:19,2023-01-13 18:48:44,inner
P632C07雲林縣分局審查課(停用),P632C07,"OU=P632C07,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","1f4fd762f2b3413fbea01f4fd762f2b3","4dfa2d570bcb6c0a2528df1d35318d08118b2908a0be3d1e66c618cc4d787269","6c2d7993ecd46d8f4af4cb55ef25e135ea31ea4c2ddae0fd4ce70c5c44b6800f",2013-03-08 10:10:50,2023-01-13 18:48:45,inner
P632C00雲林縣分局審查課(停用),P632C00,"OU=P632C00,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","372fa28d823346adbe3d372fa28d8233","09c77ba8f845f2d8411dc35a9dab4bd2694a6b74b94bf0a0f564f8bbec911f0b",cd0bfcea1c2b890c0169a59c92151d65ba96a5663177be6a745f5edfe9a65014,2013-03-08 10:10:33,2023-01-13 18:48:45,inner
BELN642國有財產署臺南辦事處,BELN642,"OU=BELN642,OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",a2dd2bcc0dce4c67adfba2dd2bcc0dce,"98620db1755f7f99cee63eeb22130ae7ee211182d849e27ae58050cc7053c182",b55d4ce318e7a04014bf7a5c0884e377308dee18aef7c451905b8486c2d367cc,2013-11-20 17:08:22,2019-11-14 16:41:50,inner
BELN643國有財產署屏東辦事處,BELN643,"OU=BELN643,OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",a520255a812641b8a9e9a520255a8126,"9720f73aa1ba1e7542d1387e316e8ea9bc196bfdb96c60ed443994af0bf2e3b7","4fe23921c82d04e80a85cfe1149c57dd00158dae22db7771e6d5e50ff72922d8",2013-11-20 17:08:41,2019-11-14 16:41:57,inner
B011B02服務科宣導股,B011B02,"OU=B011B02,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","28bd1d4376866847b95163b6a1335510",ab4c7b0ced97b96abb2985d21251a3a2136e85271790cb832dd4a95eef1f03e9,"6e486cd7aaa35aff95a5a3acba97eeb8d3c7f6c5ab05808122bc64074a2bf003",2012-02-06 15:32:50,2023-01-13 18:45:52,inner
B011B01服務科服務股,B011B01,"OU=B011B01,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","7d6841a01f3f584b9352e3411e48b54d","94ad492be0358b4bf3b891ce934145a6c2289041dd0b4273d62606467cf26a8a","47e01aef32ba85e7e1a1d75f63953897a55eb731fc0e82e240b9d711624acd42",2012-02-06 15:32:48,2023-01-13 18:45:52,inner
B011B03服務科研究考核股(停用),B011B03,"OU=B011B03,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","74725f41e65efa4587200eef247c9c5a",f64ba6bdbd60dbf5fd9cb7cc2a4c3e21f006d3fd48a992cd90146bcc544926ca,cd426f0d7eb579ad48ce0bf273ce6ac7069cdf96dc57b1463ecaa871ee2d56f0,2012-02-06 15:32:51,2023-01-13 18:45:53,inner
M592C00南投縣分局審查課(停用),M592C00,"OU=M592C00,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",dafcfc34e66b4ef29f77dafcfc34e66b,"569890195c546804f189dbcdc5493c25f5da7e9405e09bf896eb73b33a8edf0d",ce8fceba724b9a64335bb743f0b760fb2dda59a3a263e9b44b6f45baad7ffaf6,2013-03-08 10:16:42,2023-01-13 18:48:11,inner
P632E00雲林縣分局第一課(停用),P632E00,"OU=P632E00,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","460094a7a20f4b809f4c460094a7a20f","57c662ac55a5c8e6fe9c874bdbba961895b52bfbc3670d818cd12c23dfc96056","3e62a25226053d35439166c080332d1896a6195e5abd9d9eea67e1eae1e7bb4c",2013-03-08 10:04:33,2023-01-13 18:48:47,inner
P632J13雲林分局服務管理課,P632J13,"OU=P632J13,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","63267f77ebda4c97b7ba63267f77ebda","9dda9cd67662712dae2abd3f4c383e28213167d36c5e955c6b46fb7534827aa6","1a8aea2ecb0c1c94474d6aeb01704d732e0a5dbe897d35d39708edaf32cbb594",2013-03-08 10:15:22,2023-01-13 18:48:53,inner
P632K00雲林縣分局秘書室(停用),P632K00,"OU=P632K00,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","2d2b9d585cbc43e2a1ee2d2b9d585cbc",a61c7a021b50ee0db15406b5afb630ef532d32e34189171c4d20ab9284235337,"86876d595f95d54add5033d37f9bccb1691299b2318753af0403097bddb1f3a7",2013-03-08 10:11:01,2023-01-13 18:48:53,inner
B474705東山稽徵所徵收股(停用),B474705,"OU=B474705,OU=B474700,OU=B47,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","1bda31624f4b4de9b4d91bda31624f4b",fe570ec35e18eadc14859c66e2b153316e3db9cd52c5103176378c959840fe46,e602a0135795e53ee3c02845683c4af3780ddf855163562cdba801d8565ca2e7,2013-03-08 10:19:59,2023-01-13 18:49:01,inner
B474707東山稽徵所營所遺贈稅股,B474707,"OU=B474707,OU=B474700,OU=B47,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","0390d1821b574f5599280390d1821b57","3d4fa6be74448b867cb5f93bff059d40e67cc9040c968a19940bf4676efc74e1",abc1686f4255a54e7e4dc50eb55525c4d5a99779e4292196fbe9b6eadbf6d3c3,2013-03-08 10:20:10,2023-01-13 18:49:02,inner
P632D09雲林縣分局徵收課(停用),P632D09,"OU=P632D09,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","1063546528c9424284841063546528c9","543f323f85a92dca1a86a4fa53be100cf2d1414e2dc0ba0d899852776e064826","643e42193ec08844ef11dc47c3a19d7a8c6ddd03ac57455aa17c3df0f28ba751",2013-03-08 10:08:07,2023-01-13 18:48:47,inner
P632E10雲林分局營所遺贈稅課,P632E10,"OU=P632E10,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","22c1f5e014f9499194fa22c1f5e014f9",cf5998e86d62b8e9533facce7c98e6780b59f570ef24172540791d44c8a605ec,cbcd640d8f0c103e29b00396f81fe1db200774c8f29942b3b625ce11d31a8751,2013-03-08 10:05:42,2023-01-13 18:48:48,inner
P632F11雲林分局綜所稅課,P632F11,"OU=P632F11,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","26020b9c1ce94122b52426020b9c1ce9","24a0f607c3cb590c860a4c0b40f3c14f091631ac919fa8bd0c34b645f28d83f7",da8eee1e042d3055131875721257157fb3f4441508f9dc88295de53b6344c008,2013-03-08 10:03:17,2023-01-13 18:48:49,inner
P632K02雲林分局秘書室,P632K02,"OU=P632K02,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","046cb60e0d424312a9ec046cb60e0d42","4814975b8fe2734e21b664bb7e48d6fe6fab43bdfe8bba834e60e2b46e5a5d66","76ab687668c558733879abe270dc4cbb168cf62208ad29708ad41889449c6e13",2013-03-08 10:11:12,2023-01-13 18:48:54,inner
P632L05雲林分局主計室,P632L05,"OU=P632L05,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","3a8164a55fd2465f81c93a8164a55fd2",d27c2cb16864cefeae90b7e8e69f4cea644035836cb82474e668e3d37bf03e40,ab11f7f48846732a89a1064216ec0c2f2bf1550188e5cb2c2fe59110a7eb72cf,2013-03-08 10:08:10,2023-01-13 18:48:55,inner
P632L00雲林縣分局會計室(停用),P632L00,"OU=P632L00,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","0c71afa736184361b9dd0c71afa73618","0698cc712a83cc00ab0673058c109831e2eb1c3c10bc19d4c0ca050032019dab",f1a38f1c40ccfa5061ec393bc68460a7060f335bd50ef17b7793458aaa99ab06,2013-03-08 10:08:04,2023-01-13 18:48:55,inner
B474703東山稽徵所服務股(停用),B474703,"OU=B474703,OU=B474700,OU=B47,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",eebbc330e8f8410383afeebbc330e8f8,"4bc0054b4243caf014d9ad84bf4c99902bc678b9c0b43743479c76cbd045db6b","05a4e5a09b14adc9ff23d9f0b41fc56f0ee2953bc0ab1b8b94ff8f79bf8166fa",2013-03-08 10:19:52,2023-01-13 18:49:00,inner
B474704東山稽徵所審查股(停用),B474704,"OU=B474704,OU=B474700,OU=B47,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","8ae822c99dc142548f358ae822c99dc1",bd8ba8a9e9ecde8a8d8abe44e75c4b646c206fe19867095da5a390ca148148ed,"41928582edfa81c9a4a9769e2cbe6b7cd0884198838f42f22cf85bc6e89e284a",2013-03-08 10:19:55,2023-01-13 18:49:01,inner
B474706東山稽徵所資料股(停用),B474706,"OU=B474706,OU=B474700,OU=B47,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","7dfd246b79464b09885d7dfd246b7946",c60da961cde5c1edcfe401776be1c27edbfb3ca9a4fdb9505b3b16a7e0a797dc,"8b3f19fa85ff983b1aa900f474dd70a923ce29156d76e643c6a9984ab88f7ee9",2013-03-08 10:20:03,2023-01-13 18:49:02,inner
M616106竹山稽徵所資料股(停用),M616106,"OU=M616106,OU=M616100,OU=M61,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",b393d7b2827c44b6852ab393d7b2827c,"9ecd6d3ac0232a073186757e63cc30b628cb1ab3380fc6fe072d527cc87f41e1",a27cb1c786dcbb989397c7cff876cbd4f1f04afaa434b822639a17db35e61a4a,2013-03-08 10:23:15,2023-01-13 18:50:03,inner
P646405北港稽徵所徵收股(停用),P646405,"OU=P646405,OU=P646400,OU=P64,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","46bb7e3e684144c0899046bb7e3e6841",e89102238df0f72d10041215d5991cd185b542c590493e4ded73667d2aac9a15,"133edf8acb90ed39728a4061dc22836a620b30a17e9aa56144a9278efa5507c6",2013-03-08 10:17:17,2023-01-13 18:50:23,inner
B011B04服務科管制考核股(停用),B011B04,"OU=B011B04,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",f4eff76d5b2d5749bc55176e2729e297,"01af1b226cb210ac90eae65082935f19be0c261b2ec1c7f8498fc4c8da4b1e06",fba35fe46a04a3eb63bc777293c0b708d6149a4677f64972167a09a4ce56d376,2012-02-06 15:32:52,2023-01-13 18:45:54,inner
B011C01審查一科管制股(停用),B011C01,"OU=B011C01,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",f72ebd9a3108fd43b4fa521858eca54b,"0ba774179ea81af13cd584418f4beaabc9716bb770568df180f24cc5778d5396","558b05ab5bb74d19c78ce7be9ce62660df47b921e7289e1d35a10b94924694e9",2012-02-06 15:32:54,2023-01-13 18:45:55,inner
B011C06營所稅組審查二股,B011C06,"OU=B011C06,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",cdc9aaa624d1aa48b162cca135ffae43,"26dd9e5cd22ecd7264798a3dcd7231bdb57e2eb19c7cce783bb497480cc81bb2",f3b0b8fe428e98b32cd4071d55dd719ca0cfda6686062745e6302535d819d8b0,2012-02-06 15:32:59,2023-01-13 18:45:58,inner
B011C05營所稅組審查一股,B011C05,"OU=B011C05,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",e69203fde4a17140b77adf36e0358400,c7e2a9f8fc311931f95ade6138692c32471fade94a1e8c85d04bc5c1477c1eb1,e7b71e39da55dff2ef7402d002c78ec5baa134e759cee267591a8446c142cccd,2012-02-06 15:32:58,2023-01-13 18:45:58,inner
B011C07營所稅組審查三股,B011C07,"OU=B011C07,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",d84b2c85a9a0ef42a95f232c2ec96050,"3151e4003d8907ae840cef17a3dc8b88b63fcf351dfcde43ba8bf9159c30c018","9829e58392fd03e54dadc74f78dd7e077cc1287e2b19abde3434bd388d509c85",2012-02-06 15:33:00,2023-01-13 18:45:59,inner
B011C09審查一科五股(停用),B011C09,"OU=B011C09,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","9d4439ed763a3e4984cda6638759a546","96e1ca578e31b890c7a28ecdaee5ff2eb23f21a0d01e3a7a507e5f0750297f2c","1e92ac9fc52e80c424080e12db7dcea18851bf5db003134a2c947227cfcb9e81",2012-02-06 15:33:02,2023-01-13 18:46:00,inner
P632G08雲林縣分局資料課(停用),P632G08,"OU=P632G08,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","5bc397e611d4472f845e5bc397e611d4","8c3b3489fcbfcd37674301409d60c3332c234a588defa08f3d48d69275d8b400","26bec2947e815e67478d896ca027d3026cca7d301e8c49176e999cd738132409",2013-03-08 10:21:56,2023-01-13 18:48:50,inner
B474708東山稽徵所綜所稅股,B474708,"OU=B474708,OU=B474700,OU=B47,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","3c6d889b28ee4d9a842c3c6d889b28ee","2fe8d05892f2f54300d9a618537696908cf028cf896523d1c8cb032e0701ea51","4aaf99271b6f386e88b5edc4f89b925bd7ef7aff328390a1dd2fa1fd05b08b13",2013-03-08 10:20:14,2023-01-13 18:49:03,inner
B484805民權稽徵所徵收股(停用),B484805,"OU=B484805,OU=B484800,OU=B48,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",bb7dfd1a398146948252bb7dfd1a3981,"0b5ee662787af4c869eedcbfd130a615e662308581e6ad4566e2cd6991aee738","2d7fe3a5814ae730286fee62cdd20a0a08f4509052ca9273a99a9ca20dcdd970",2013-03-08 10:12:51,2023-01-13 18:49:08,inner
B484807民權稽徵所營所遺贈稅股,B484807,"OU=B484807,OU=B484800,OU=B48,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",ba0ebb81fee24f21b743ba0ebb81fee2,af3a0622e529e6d85794408caf8eb45f1009dbe9f014a5b899c1a83df85a04de,"02f27d315f82472c14377e75ec234d70db0e0094625087da25944befa792099d",2013-03-08 10:12:57,2023-01-13 18:49:09,inner
B484809民權稽徵所銷售稅股,B484809,"OU=B484809,OU=B484800,OU=B48,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",c6853cfe03964ffd9fc4c6853cfe0396,"2addd4d5fc1e03638583302750c3e733172ffa5fa3a5649598b79fa6bfd85bfd","958718caa1ba6171a144503505c34341ed3e415a636c43abf5684ac219cef65b",2013-03-08 10:13:04,2023-01-13 18:49:10,inner
B525206大屯稽徵所資料股(停用),B525206,"OU=B525206,OU=B525200,OU=B52,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",e79e0954bdc14075960be79e0954bdc1,"432e3e49467cf8763642ae1e16ba30dbafe16c18a882b46dd3a79b3b10062bc7",c809706c3034e6af20ebf508f934edb2244125096c6914abf21a3db3105716e0,2013-03-08 10:06:07,2023-01-13 18:49:23,inner
